sector0_superlayer1_layer0_paddle7  |         ahdc_mother  |ATOFpaddle7 sector0 superlayer1 layer0  |                 0.0000*mm   0.0000*mm -69.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 7 order manual 0 
sector0_superlayer1_layer0_paddle8  |         ahdc_mother  |ATOFpaddle8 sector0 superlayer1 layer0  |                 0.0000*mm   0.0000*mm -41.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 8 order manual 0 
sector0_superlayer1_layer0_paddle9  |         ahdc_mother  |ATOFpaddle9 sector0 superlayer1 layer0  |                 0.0000*mm   0.0000*mm -13.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 0 paddle manual 9 order manual 0 
sector0_superlayer1_layer1_paddle0  |         ahdc_mother  |ATOFpaddle0 sector0 superlayer1 layer1  |                0.0000*mm   0.0000*mm -265.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 0 order manual 0 
sector0_superlayer1_layer1_paddle1  |         ahdc_mother  |ATOFpaddle1 sector0 superlayer1 layer1  |                0.0000*mm   0.0000*mm -237.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 1 order manual 0 
sector0_superlayer1_layer1_paddle2  |         ahdc_mother  |ATOFpaddle2 sector0 superlayer1 layer1  |                0.0000*mm   0.0000*mm -209.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 2 order manual 0 
sector0_superlayer1_layer1_paddle3  |         ahdc_mother  |ATOFpaddle3 sector0 superlayer1 layer1  |                0.0000*mm   0.0000*mm -181.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 3 order manual 0 
sector0_superlayer1_layer1_paddle4  |         ahdc_mother  |ATOFpaddle4 sector0 superlayer1 layer1  |                0.0000*mm   0.0000*mm -153.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 4 order manual 0 
sector0_superlayer1_layer1_paddle5  |         ahdc_mother  |ATOFpaddle5 sector0 superlayer1 layer1  |                0.0000*mm   0.0000*mm -125.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 5 order manual 0 
sector0_superlayer1_layer1_paddle6  |         ahdc_mother  |ATOFpaddle6 sector0 superlayer1 layer1  |                 0.0000*mm   0.0000*mm -97.8500*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | 00aa00   |       G4GenericTrap  |13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                atof  |                atof  |sector manual 0 superlayer manual 1 layer manual 1 paddle manual 6 order manual 0 
